"clade_name","clade_taxid","TS8S","TS8","TS7S","TS7","TS5S","TS5","TS55S","TS55","TS54S","TS54","TS53S","TS53","TS52S","TS52","TS51S","TS51","TS50S","TS50","TS4S","TS4","TS42S","TS42","TS41S","TS41","TS40S","TS40","TS3S","TS3","TS38S","TS38","TS35S","TS35","TS32S","TS32","TS31S","TS31","TS30S","TS30","TS29S","TS29","TS28S","TS28","TS27S","TS27","TS26S","TS26","TS24S","TS24","TS22S","TS22","TS20S","TS20","TS18S","TS18","TS17S","TS17","TS16S","TS16","TS14S","TS14","TS13S","TS13","TS12S","TS12","TS11S","TS11"
"s__Coprobacillus_cateniformis","2|1239|526524|526525|128827|100883|100884",0,0,132,172,0,0,45633,0,0,0,43758,0,0,0,0,0,0,3394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133240,0,0,2526,0,10276,0,0,0,0,0,0,292,0,2020,0
"s__Dielma_fastidiosa","2|1239|526524|526525|128827|1472649|1034346",0,0,0,0,0,0,0,3992,0,0,0,0,0,0,0,0,502,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Clostridium_innocuum","2|1239|526524|526525|128827|1505663|1522",0,0,0,0,0,0,4004,19360,3115,0,2168,0,0,0,0,0,366,2077,0,2525,0,1347,0,470,7166,0,525,0,0,0,69643,0,0,4727,0,0,0,0,0,0,0,177,0,0,0,0,0,590,466,2114,0,0,0,8152,2645,0,1707,0,1291,0,0,0,5550,3644,599,0
"s__Clostridium_spiroforme","2|1239|526524|526525|128827|1505663|29348",33,874,0,0,0,1853,0,3650,9240,563,0,0,0,0,0,0,0,0,0,0,0,1232,1323,782,642,0,0,997,0,0,10458,1371,0,14066,0,0,0,7185,0,897,0,12822,0,0,0,0,362,6447,0,0,0,0,0,0,2221,4891,319,0,347,0,997,1339,3665,1254,0,2033
"s__Erysipelatoclostridium_ramosum","2|1239|526524|526525|128827|1505663|1547",0,0,0,0,0,0,0,33089,0,0,0,0,0,0,0,0,0,0,0,13228,0,0,0,0,0,0,0,0,0,4618,132418,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4101,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
"s__Holdemanella_biformis","2|1239|526524|526525|128827|1573535|1735",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,0,0,0,0,0,0,0,0,857
"s__Holdemania_filiformis","2|1239|526524|526525|128827|61170|61171",0,0,705,0,0,944,347,15149,0,0,840,0,0,0,0,0,0,0,0,0,2064,4963,0,0,0,0,811,276,0,0,0,1429,0,0,0,0,0,0,0,0,205,7168,0,0,0,0,0,0,1043,347,0,0,0,0,0,345,0,0,0,0,406,476,70,0,0,208
"s__Massiliomicrobiota_timonensis","2|1239|526524|526525|128827|1924110|1776392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Solobacterium_moorei","2|1239|526524|526525|128827|123375|102148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Turicibacter_sanguinis","2|1239|526524|526525|128827|191303|154288",0,0,0,0,0,0,5204,0,0,0,2138,0,0,0,0,0,411,0,0,201,31,0,1057,0,7159,0,29,0,0,974,1022,1345,0,6891,0,0,0,24468,19041,0,0,1634,0,0,0,0,140,8670,0,702,738,0,6712,0,542,201,0,0,0,0,0,0,2669,0,0,0
