"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"86","s__Clostridium_sp_CAG_167","Status","TS",2.27332471429196,5.28457890854025,0.668509192356484,"StatusTS",0.905738146083669,66,15
"87","s__Clostridium_sp_CAG_299","Status","TS",1.98879286215436,3.78200960754507,0.600805625148204,"StatusTS",0.905738146083669,66,7
"88","s__Lawsonibacter_asaccharolyticus","Status","TS",-0.49959110044149,1.70164064695257,0.770018316020703,"StatusTS",0.905738146083669,66,13
"89","s__Blautia_hydrogenotrophica","Status","TS",-18.353200930542,52.5895267864304,0.728242661302453,"StatusTS",0.905738146083669,66,20
"90","s__Blautia_obeum","Status","TS",-127.02042463625,358.185115592494,0.724038445689633,"StatusTS",0.905738146083669,66,65
"91","s__Ruminococcus_torques","Status","TS",172.449393685889,388.647231980932,0.658743731852431,"StatusTS",0.905738146083669,66,65
"92","s__Coprococcus_comes","Status","TS",-120.339620983011,323.665145371764,0.711267832374082,"StatusTS",0.905738146083669,66,66
"93","s__Roseburia_intestinalis","Status","TS",127.953140383291,300.228382423543,0.671402312724529,"StatusTS",0.905738146083669,66,43
"94","s__Roseburia_inulinivorans","Status","TS",-30.4568988938529,100.898812446023,0.763740658613912,"StatusTS",0.905738146083669,66,52
"95","s__Roseburia_sp_CAG_471","Status","TS",-7.51414168877394,14.0982644175036,0.595890986436629,"StatusTS",0.905738146083669,66,32
"96","s__Sellimonas_intestinalis","Status","TS",13.7635949354651,31.726227484282,0.665875255173491,"StatusTS",0.905738146083669,66,23
"97","s__Tyzzerella_nexilis","Status","TS",-0.863946548978195,2.64524652111632,0.745033566069122,"StatusTS",0.905738146083669,66,10
"98","s__Intestinibacter_bartlettii","Status","TS",-8.59990553848516,29.6203329997877,0.772496438463877,"StatusTS",0.905738146083669,66,45
"99","s__Anaeromassilibacillus_sp_An250","Status","TS",-1.39374250113352,3.25154232247803,0.669624201730117,"StatusTS",0.905738146083669,66,16
"100","s__Clostridium_leptum","Status","TS",-10.4636110741647,30.2687937067016,0.730709643920668,"StatusTS",0.905738146083669,66,46
"101","s__Erysipelatoclostridium_ramosum","Status","TS",-15.386196744494,31.4608342148572,0.626471968519287,"StatusTS",0.905738146083669,66,7
"102","s__Turicibacter_sanguinis","Status","TS",-2.44668387669039,8.49475971076672,0.774260028103781,"StatusTS",0.905738146083669,66,23
"103","s__Firmicutes_bacterium_CAG_110","Status","TS",-10.9126771466269,23.839759348394,0.648681559169192,"StatusTS",0.905738146083669,66,21
"104","s__Dialister_invisus","Status","TS",-10.9366098146265,24.0916936572889,0.651395014639099,"StatusTS",0.905738146083669,66,49
"105","s__Parasutterella_excrementihominis","Status","TS",-3.41614390840162,10.2236556642586,0.739365535626545,"StatusTS",0.905738146083669,66,28
"106","s__Desulfovibrio_piger","Status","TS",-2.59257021066953,7.92610078837489,0.744665165089302,"StatusTS",0.905738146083669,66,8
"107","s__Bacteroides_ovatus","Status","TS",88.2117189712247,343.313802521171,0.798047828958198,"StatusTS",0.914621255074322,66,58
"108","s__Dorea_longicatena","Status","TS",-166.552796726192,668.27144983167,0.803981587121783,"StatusTS",0.914621255074322,66,66
"109","s__Gemmiger_formicilis","Status","TS",-5.19494620182676,19.5908408036496,0.791729052854129,"StatusTS",0.914621255074322,66,58
"110","s__Eggerthella_lenta","Status","TS",14.6288031128349,68.8120355857701,0.832321847022243,"StatusTS",0.935876665572905,66,51
"111","s__Prevotella_copri","Status","TS",-27.7552333318726,140.053315401009,0.843535361591229,"StatusTS",0.935876665572905,66,9
"112","s__Alistipes_indistinctus","Status","TS",2.4588976574126,13.909469459732,0.860240479763434,"StatusTS",0.935876665572905,66,12
